Country Name;Country Code;Indicator Name;Indicator Code;gdp2001;gini2001;nat2001
Moldova;MDA;GDP per capita (current US$);NY.GDP.PCAP.CD;507.5576584;38;11.847
Madagascar;MDG;GDP per capita (current US$);NY.GDP.PCAP.CD;334.4416177;47.4;41.918
Maldives;MDV;GDP per capita (current US$);NY.GDP.PCAP.CD;3039.302776;;22.68
Middle East & North Africa;MEA;GDP per capita (current US$);NY.GDP.PCAP.CD;3043.95837;;25.07923568
Mexico;MEX;GDP per capita (current US$);NY.GDP.PCAP.CD;7544.568723;;24.272
Marshall Islands;MHL;GDP per capita (current US$);NY.GDP.PCAP.CD;2389.060707;;41.8
Middle income;MIC;GDP per capita (current US$);NY.GDP.PCAP.CD;1248.607089;;22.44420006
North Macedonia;MKD;GDP per capita (current US$);NY.GDP.PCAP.CD;1815.840915;;13.333
Mali;MLI;GDP per capita (current US$);NY.GDP.PCAP.CD;307.7058258;39.9;48.779
Malta;MLT;GDP per capita (current US$);NY.GDP.PCAP.CD;10402.23337;;11.4
Myanmar;MMR;GDP per capita (current US$);NY.GDP.PCAP.CD;90.53242894;;24.733
Middle East & North Africa (excluding high income);MNA;GDP per capita (current US$);NY.GDP.PCAP.CD;1666.677149;;25.15542239
Montenegro;MNE;GDP per capita (current US$);NY.GDP.PCAP.CD;1909.598702;;13.836
Mongolia;MNG;GDP per capita (current US$);NY.GDP.PCAP.CD;524.0540084;;19.853
Northern Mariana Islands;MNP;GDP per capita (current US$);NY.GDP.PCAP.CD;;;
Mozambique;MOZ;GDP per capita (current US$);NY.GDP.PCAP.CD;296.2684069;;44.876
Mauritania;MRT;GDP per capita (current US$);NY.GDP.PCAP.CD;646.1151155;;38.287
Mauritius;MUS;GDP per capita (current US$);NY.GDP.PCAP.CD;3856.625227;;17.3
Malawi;MWI;GDP per capita (current US$);NY.GDP.PCAP.CD;150.1489426;;43.901
Malaysia;MYS;GDP per capita (current US$);NY.GDP.PCAP.CD;3913.429386;;22.993
North America;NAC;GDP per capita (current US$);NY.GDP.PCAP.CD;35831.03647;;13.9052628
Namibia;NAM;GDP per capita (current US$);NY.GDP.PCAP.CD;1950.648536;;31.641
New Caledonia;NCL;GDP per capita (current US$);NY.GDP.PCAP.CD;;;20.6
Niger;NER;GDP per capita (current US$);NY.GDP.PCAP.CD;208.3770599;;53.82
Nigeria;NGA;GDP per capita (current US$);NY.GDP.PCAP.CD;590.381815;;43.211
Nicaragua;NIC;GDP per capita (current US$);NY.GDP.PCAP.CD;1034.551387;52.9;27.693
